"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses"
"171",2015,"OKC",70,16,78791632,915243,18995624,2621001.5,8524,45,37
"172",2015,"ORL",53,20,53338463,1e+05,8175476,2134217,7847,25,57
"173",2015,"PHI",40,27,56455990,40000,11250000,1e+06,7542,18,64
"174",2015,"PHO",50,22,66503432,29843,12173913,2038500,8397,39,43
"175",2015,"POR",77,17,92220907,50734,19317326,3150000,8429,51,31
"176",2015,"SAC",77,19,73675912,29843,19317325,1768653,8310,29,53
"177",2015,"SAS",89,18,69614583,20000,12500000,2475375,8461,55,27
"178",2015,"TOR",63,17,75562364,25000,1.2e+07,3678360,8527,49,33
"179",2015,"UTA",26,23,59061387,29843,14746000,816481,7801,38,44
"180",2015,"WAS",97,18,83108421,96056,14746000,4099346,8080,46,36
"181",2016,"ATL",82,16,71453126,75000,1.9e+07,2435000,8433,48,34
"182",2016,"BOS",52,22,77202316,9266,15493680,2107778.5,8669,48,34
"183",2016,"BRK",70,20,83831503,50000,24894863,1237860,8089,21,61
"184",2016,"CHI",68,15,85385898,525090,20093063,2380440,8335,42,40
"185",2016,"CHO",68,16,77609865,80000,13833333,3619278,8479,48,34
"186",2016,"CLE",107,15,105962520,8819,22971000,4950000,8555,57,25
"187",2016,"DAL",112,21,74040317,10000,16400000,1499187,8388,42,40
"188",2016,"DEN",65,22,72606354,99418,1.4e+07,1775860,8355,33,49
"189",2016,"DET",57,21,76638790,60000,1.6e+07,2500000,8361,44,38
"190",2016,"GSW",85,16,93707197,458575,15500000,3844199,9421,73,9
"191",2016,"HOU",102,18,90188412,83583,22359364,1967302.5,8737,41,41
"192",2016,"IND",73,17,71286088,265058,17120106,3700000,8377,45,37
"193",2016,"LAC",99,18,95585714,61776,21468696,1215322,8569,53,29
"194",2016,"LAL",77,18,72415125,35000,2.5e+07,1327393.5,7982,17,65
"195",2016,"MEM",129,25,83200551,30888,19700000,1201440,8126,42,40
"196",2016,"MIA",116,16,85826352,12355,22192730,1834826,8204,48,34
"197",2016,"MIL",47,17,70993573,57726,16400000,2109294,8122,33,49
"198",2016,"MIN",75,17,72458417,247623,12365000,2148360,8398,29,53
"199",2016,"NOP",90,22,84384711,44000,15514031,1437100,8423,30,52
"200",2016,"NYK",53,20,75311181,50000,22875000,1611180,8065,32,50
"201",2016,"OKC",80,15,94622660,352750,20158622,3344000,9038,55,27
"202",2016,"ORL",35,19,63349656,1e+05,11250000,2380594,8369,35,47
"203",2016,"PHI",50,23,63646397,172739,1.2e+07,1100602,7988,10,72
"204",2016,"PHO",74,22,69701209,55722,13086957,1329673.5,8271,23,59
"205",2016,"POR",48,18,61000674,525093,9638554,2854940,8622,44,38
"206",2016,"SAC",75,18,71840771,35000,14728844,2249593.5,8740,33,49
"207",2016,"SAS",128,18,87365099,317475,19500000,1499187,8490,67,15
"208",2016,"TOR",62,20,71934665,25000,13500000,2171000,8422,56,26
"209",2016,"UTA",36,21,64783884,50000,15409570,1348440,8010,40,42
"210",2016,"WAS",89,18,84237317,176375,15851950,3650000,8534,41,41
"211",2017,"ATL",79,20,96007250,50000,23180275,2299942.5,8459,43,39
"212",2017,"BOS",63,20,93465328,25000,26540100,2500227,8857,53,29
"213",2017,"BRK",64,27,84083139,31969,21165675,1315448,8673,20,62
"214",2017,"CHI",56,17,92571387,69500,23200000,2092200,8435,41,41
"215",2017,"CHO",63,18,90175926,119494,20869566,2140829.5,8601,36,46
"216",2017,"CLE",145,18,127254579,5145,30963450,2025829.5,9048,51,31
"217",2017,"DAL",80,26,103994075,20000,2.5e+07,665468.5,8029,33,49
"218",2017,"DEN",84,23,82573997,50000,15050000,2200000,9161,40,42
"219",2017,"DET",54,19,108968495,11949,22116750,3678319,8309,37,45
"220",2017,"GSW",102,23,101725589,35000,26540100,1171560,9503,67,15
"221",2017,"HOU",56,18,90498298,11534,26540100,1398120,9458,55,27
"222",2017,"IND",89,21,94008504,25000,18314532,2463840,8618,42,40
"223",2017,"LAC",124,18,116237541,3e+05,22868827,1877329.5,8911,51,31
"224",2017,"LAL",65,19,95226183,60000,1.8e+07,3267120,8575,26,56
"225",2017,"MEM",90,22,111209189,25000,26540100,1417154.5,8239,43,39
"226",2017,"MIA",60,20,101818405,31969,23741060,2745720,8460,41,41
"227",2017,"MIL",79,20,106512121,35166,17100000,2468463.5,8497,42,40
"228",2017,"MIN",61,19,81621379,138414,13550000,3500000,8657,31,51
"229",2017,"NOP",80,25,101707386,20580,22116750,1227286,8556,34,48
"230",2017,"NYK",56,18,103595894,1e+05,24559380,2224829.5,8556,31,51
"231",2017,"OKC",55,21,91339949,50000,26540100,2440200,8741,47,35
"232",2017,"ORL",55,18,104110336,31969,1.7e+07,4130580,8288,29,53
"233",2017,"PHI",35,28,85674275,38903,11027027,1330190,8400,28,54
"234",2017,"PHO",73,21,85115778,23069,1.4e+07,2223600,8831,24,58
"235",2017,"POR",41,15,111872768,6e+05,24328425,6666667,8851,41,41
"236",2017,"SAC",90,21,96043092,82979,13333333,3551160,8430,32,50
"237",2017,"SAS",85,20,108640621,75000,20575005,1371869.5,8637,61,21
"238",2017,"TOR",53,19,108664969,50000,26540100,1921320,8762,51,31
"239",2017,"UTA",71,18,80598193,75000,16073140,2295300,8258,51,31
"240",2017,"WAS",55,18,102334382,175000,22116750,3128705.5,8953,49,33
"241",2018,"ATL",38,27,99701094,26773,16910113,1567200,8475,24,58
"242",2018,"BOS",54,19,115075693,44495,29727900,2247480,8529,55,27
"243",2018,"BRK",59,17,95964560,1312611,19332500,2300000,8741,28,54
"244",2018,"CHI",40,26,90183960,50000,15550000,2174703,8440,27,55
"245",2018,"CHO",64,14,117228164,815615,23500000,4952240,8874,36,46
"246",2018,"CLE",103,17,137912382,13156,33285709,2386864,9091,50,32
"247",2018,"DAL",73,20,86136236,46080,23112004,2302865,8390,24,58
"248",2018,"DEN",79,16,107015203,1454756,31269231,3444326.5,9020,46,36
"249",2018,"DET",70,18,118897722,25000,29727900,3063105,8509,39,43
"250",2018,"GSW",114,17,135371746,14832,34682550,1471382,9304,58,24
"251",2018,"HOU",118,24,118271480,4608,28299399,1271398.5,9213,65,17
"252",2018,"IND",73,21,93669385,7416,2.1e+07,2028360,8656,48,34
"253",2018,"LAC",66,20,119178226,166258,22642350,3654057,8937,42,40
"254",2018,"LAL",82,22,102260522,13824,22642350,1409040,8862,35,47
"255",2018,"MEM",70,23,110735427,27648,28530608,1312611,8145,22,60
"256",2018,"MIA",75,17,129458084,1312611,25289390,2705040,8480,44,38
"257",2018,"MIL",76,20,115375243,297169,22471910,2071049.5,8731,44,38
"258",2018,"MIN",81,17,105179926,4608,19301070,3949999,8980,47,35
"259",2018,"NOP",80,21,118896488,25000,25686667,1471382,9161,48,34
"260",2018,"NYK",80,20,104405157,50000,20566802,3203257.5,8566,29,53
"261",2018,"OKC",90,16,133777615,340829,28530608,3554477.5,8844,48,34
"262",2018,"ORL",59,17,95538311,161280,1.7e+07,4186320,8479,25,57
"263",2018,"PHI",61,19,100223563,74159,2.3e+07,1579440,9004,52,30
"264",2018,"PHO",59,21,92518634,87552,16384175,3152931,8522,21,61
"265",2018,"POR",48,19,119265264,83129,26153057,2844429,8661,49,33
"266",2018,"SAC",58,21,95682824,55296,12307692,2451225,8104,27,55
"267",2018,"SAS",84,17,116153554,815615,21461010,2151704,8424,47,35
"268",2018,"TOR",50,17,116574876,92160,28703704,1645200,9156,59,23
"269",2018,"UTA",59,18,106140633,92160,21974719,3600000,8540,48,34
"270",2018,"WAS",88,18,124030914,8313,24773250,2546520,8742,43,39
"271",2019,"ATL",67,23,107076435,47371,25534253,2299080,9294,29,53
"272",2019,"BOS",60,17,125541941,17092,31214295,3050390,9216,49,33
"273",2019,"BRK",63,21,118271871,4737,18919725,2165481,9204,42,40
"274",2019,"CHI",39,21,112898444,88531,26011913,2280600,8605,22,60
"275",2019,"CHO",85,15,122327044,988464,2.4e+07,5e+06,9081,39,43
"276",2019,"CLE",77,19,124623504,76236,24119025,2775000,8567,19,63
"277",2019,"DAL",77,20,88351669,4737,17325000,2246041.5,8927,33,49
