"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses","adjusted_salaries","adjusted_max_salary","adjusted_min_salary"
"119",2013,"UTA",55,13,64717649,473604,1.5e+07,3480000,8038,43,39,60578010.8360942,14040531.0851359,443310.112269646
"120",2013,"WAS",70,20,66343388,67253,13490000,1490820,7644,29,53,62099760.1004821,12627117.6225655,62951.1891379096
"121",2014,"ATL",50,14,55131673,1e+05,1.2e+07,2028772.5,8282,38,44,50781427.7832184,11053122.4655312,92109.3538794269
"122",2014,"BOS",60,11,63769609,1210080,1.2e+07,5058198,7892,25,57,58737774.8213369,11053122.4655312,1114596.86942417
"123",2014,"BRK",116,15,102608995,788872,21466718,3183000,8079,44,38,94512482.3166734,19772855.2489186,726624.902135712
"124",2014,"CHI",73,13,85095835,1e+06,17632688,4059000,7680,48,34,78381223.7968032,16241354.9883752,921093.538794269
"125",2014,"CHO",56,14,60819062,788872,13500000,2850960,7942,43,39,56020045.043728,12434762.7737226,726624.902135712
"126",2014,"CLE",30,11,47050404,1467840,9036364,4062000,8054,33,49,43337823.12206,8323336.49459313,1352017.93998378
"127",2014,"DAL",87,14,67486257,788872,22721381,2916000,8597,49,33,62161155.2801095,20928517.2315829,726624.902135712
"128",2014,"DEN",67,15,67324401,788872,10786517,3231683,8559,36,46,62012070.7642944,9935391.11479454,726624.902135712
"129",2014,"DET",59,12,59157073,884293,13500000,3438398.5,8286,29,53,54489197.7142809,12434762.7737226,814516.568701
"130",2014,"GSW",60,13,66764126,788872,1.4e+07,2317920,8549,51,31,61496005.0818465,12895309.5431198,726624.902135712
"131",2014,"HOU",38,16,63413126,1e+05,20513178,1226218,8829,54,28,58409420.6333469,18894555.7159367,92109.3538794269
"132",2014,"IND",47,12,55015196,788872,14283844,3141001.5,7933,56,26,50674141.5711003,13156756.4175453,726624.902135712
"133",2014,"LAC",92,13,73103861,947907,18668431,3250000,8850,57,25,67335494.0280143,17195371.1735266,873111.013077859
"134",2014,"LAL",90,12,76755609,788872,30453805,2366500,8442,27,55,70699095.5161192,28050803.0172006,726624.902135712
"135",2014,"MEM",77,14,73789859,788872,17800000,3144430,7884,50,32,67967362.3534401,16395464.990538,726624.902135712
"136",2014,"MIA",115,14,82218984,788872,19067500,3249525,8380,54,28,75731374.9286294,17562951.0509597,726624.902135712
"137",2014,"MIL",38,14,49175131,788872,8e+06,3151684,7829,15,67,45294895.4334617,7368748.31035415,726624.902135712
"138",2014,"MIN",41,14,67485845,916099,14693906,4251060,8768,40,42,62160775.7895715,13534461.8762503,843812.869795891
"139",2014,"NOP",39,13,62186089,788872,14283844,2676000,8177,34,48,57279204.7807854,13156756.4175453,726624.902135712
"140",2014,"NYK",98,13,88890427,884293,22407474,1703760,8084,37,45,81876397.9703636,20639379.5221006,814516.568701
"141",2014,"OKC",73,14,71181364,1082520,17832627,2101020,8705,59,23,65564694.462963,16425517.5094282,997102.177615572
"142",2014,"ORL",45,17,80664910,788872,22346536,2500000,7914,23,59,74299927.4084212,20583249.9240335,726624.902135712
"143",2014,"PHI",23,14,58945006,788872,14021788,3002950.5,8155,19,63,54293864.1707894,12915378.329143,726624.902135712
"144",2014,"PHO",23,17,64412586,2e+05,14487500,2626473,8629,48,34,59330016.7816302,13344342.643282,184218.707758854
"145",2014,"POR",58,14,61539586,788872,14128000,2948988,8753,54,28,56683715.0446742,13013209.5160854,726624.902135712
"146",2014,"SAC",66,15,78765372,884293,17888931,4588384,8241,28,54,72550275.229927,16477378.7600365,814516.568701
"147",2014,"SAS",69,14,63666028,788872,12500000,3256250,8639,62,20,58642367.031495,11513669.2349284,726624.902135712
"148",2014,"TOR",50,14,53076014,788872,9500000,3354720,8305,48,34,48887973.5603542,8750388.61854555,726624.902135712
"149",2014,"UTA",38,12,54491476,1078800,11046000,3726091.5,7791,25,57,50191746.462963,10174399.2295215,993675.709651257
"150",2014,"WAS",54,14,64064905,916099,1.3e+07,3809460,8254,44,38,59009770.0589686,11974216.0043255,843812.869795891
"151",2015,"ATL",74,17,58337671,29843,1.2e+07,2e+06,8409,60,22,53670745.927828,11040018.2265407,27455.6053278879
"152",2015,"BOS",46,21,61092622,48028,10105855,2075760,8312,40,42,56205305.0322635,9297401.9495648,44185.8329486914
"153",2015,"BRK",60,16,91873492,62552,23180790,2405920,8038,38,44,84523752.1846619,21326362.0088011,57547.9350088812
"154",2015,"CHI",82,16,81244225,333333,18862875,2503980,8265,50,32,74744810.4000979,17353873.6504133,306666.866292291
"155",2015,"CHO",72,18,75954458,53838,13666667,3511045.5,7721,33,49,69878216.7255851,12573354.3980052,49531.0417733749
"156",2015,"CLE",104,15,82038768,434547,20644400,2732000,8457,53,29,75475791.1669121,18992879.3563331,399783.900024049
"157",2015,"DAL",112,21,83970065,25000,14700000,1310286,8628,50,32,77252587.3403174,13524022.3275124,23000.0379719598
"158",2015,"DEN",53,19,56278056,19914,11595506,1762680,8320,30,52,51775896.9995232,10667883.1321635,18320.9102469443
"159",2015,"DET",63,16,66738182,107676,1.4e+07,2886240,8077,32,50,61399228.8071826,12880021.2642975,99062.0835467498
"160",2015,"GSW",74,19,73623654,35000,15012000,1145685,9016,67,15,67733873.5053773,13811062.8014024,32200.0531607437
"161",2015,"HOU",66,22,87299371,150000,21436271,1551300,8522,56,26,80315553.9171283,19721401.8790888,138000.227831759
"162",2015,"IND",72,15,75174324,507336,15925680,3135000,7981,38,44,69160492.2606564,14651649.7891712,466749.890581688
"163",2015,"LAC",104,19,80901123,55774,20068563,1448490,8751,56,26,74429156.0389677,18463108.4417067,51312.1647139235
"164",2015,"LAL",76,18,70914495,44765,23500000,1199404.5,8073,21,61,65241443.1104942,21620035.6936422,41183.8679925913
"165",2015,"MEM",91,18,75341226,59686,16500000,1710560,8062,55,27,69314042.3541602,15180025.0614935,54911.2106557758
"166",2015,"MIA",80,17,82351805,50000,20644400,2732000,7764,37,45,75763785.6823772,18992879.3563331,46000.0759439196
"167",2015,"MIL",59,21,61443341,59686,1.1e+07,1873200,8023,41,41,56527967.044963,10120016.7076623,54911.2106557758
"168",2015,"MIN",49,18,64733364,29843,12100000,2013900,8016,16,66,59554793.2021079,11132018.3784286,27455.6053278879
"169",2015,"NOP",55,19,69390028,96056,14898938,981084,8147,45,37,63838931.1550142,13707045.589675,88371.6658973829
"170",2015,"NYK",63,20,83022165,15000,23410988,1058622,7535,17,65,76380517.9005725,21538144.5184438,13800.0227831759
"171",2015,"OKC",70,16,78791632,915243,18995624,2621001.5,8524,45,37,72488421.1149074,17476002.9320429,842024.950142817
"172",2015,"ORL",53,20,53338463,1e+05,8175476,2134217,7847,25,57,49071466.974639,7521450.33755385,92000.1518878393
"173",2015,"PHI",40,27,56455990,40000,11250000,1e+06,7542,18,64,51939596.5497834,10350017.0873819,36800.0607551357
"174",2015,"PHO",50,22,66503432,29843,12173913,2038500,8397,39,43,61183258.4506259,11200018.4506934,27455.6053278879
"175",2015,"POR",77,17,92220907,50734,19317326,3150000,8429,51,31,84843374.512343,17771969.2606691,46675.3570587764
"176",2015,"SAC",77,19,73675912,29843,19317325,1768653,8310,29,53,67781950.9447508,17771968.3406675,27455.6053278879
"177",2015,"SAS",89,18,69614583,20000,12500000,2475375,8461,55,27,64045522.0960859,11500018.9859799,18400.0303775679
"178",2015,"TOR",63,17,75562364,25000,1.2e+07,3678360,8527,49,33,69517489.650042,11040018.2265407,23000.0379719598
"179",2015,"UTA",26,23,59061387,29843,14746000,816481,7801,38,44,54336565.7470646,13566342.3973808,27455.6053278879
"180",2015,"WAS",97,18,83108421,96056,14746000,4099346,8080,46,36,76459873.5515849,13566342.3973808,88371.6658973829
"181",2016,"ATL",82,16,71453126,75000,1.9e+07,2435000,8433,48,34,64918035.0700438,17262263.1839905,68140.5125683834
"182",2016,"BOS",52,22,77202316,9266,15493680,2107778.5,8669,48,34,70141405.1160841,14076630.6236068,8418.53319278188
"183",2016,"BRK",70,20,83831503,50000,24894863,1237860,8089,21,61,76164287.783973,22617983.0018624,45427.0083789223
"184",2016,"CHI",68,15,85385898,525090,20093063,2380440,8335,42,40,77576518.0777561,18255354.8251843,477065.356593766
"185",2016,"CHO",68,16,77609865,80000,13833333,3619278,8479,48,34,70511679.7528405,12568138.6819884,72683.2134062757
"186",2016,"CLE",107,15,105962520,8819,22971000,4950000,8555,57,25,96271205.6778344,20870076.1894445,8012.41573787431
"187",2016,"DAL",112,21,74040317,10000,16400000,1499187,8388,42,40,67268602.0147412,14900058.7482865,9085.40167578446
"188",2016,"DEN",65,22,72606354,99418,1.4e+07,1775860,8355,33,49,65965789.03042,12719562.3460982,90325.2463803139
"189",2016,"DET",57,21,76638790,60000,1.6e+07,2500000,8361,44,38,69629419.1096093,14536642.6812551,54512.4100547067
"190",2016,"GSW",85,16,93707197,458575,15500000,3844199,9421,73,9,85136752.4656864,14082372.5974659,416633.807347286
"191",2016,"HOU",102,18,90188412,83583,22359364,1967302.5,8737,41,41,81939794.9521139,20314380.3155075,75938.5128267092
"192",2016,"IND",73,17,71286088,265058,17120106,3700000,8377,45,37,64766274.3375318,15554303.9742008,240815.839738008
"193",2016,"LAC",99,18,95585714,61776,21468696,1215322,8569,53,29,86843460.6156654,19505172.6615307,56125.9773923261
"194",2016,"LAL",77,18,72415125,35000,2.5e+07,1327393.5,7982,17,65,65792049.8027141,22713504.1894611,31798.9058652456
"195",2016,"MEM",129,25,83200551,30888,19700000,1201440,8126,42,40,75591042.548159,17898241.3012954,28062.988696163
"196",2016,"MIA",116,16,85826352,12355,22192730,1834826,8204,48,34,77976688.2287267,20162986.6332232,11225.0137704317
"197",2016,"MIL",47,17,70993573,57726,16400000,2109294,8122,33,49,64500512.7104126,14900058.7482865,52446.3897136334
"198",2016,"MIN",75,17,72458417,247623,12365000,2148360,8398,29,53,65831382.3236489,11234099.1721075,224975.441916277
"199",2016,"NOP",90,22,84384711,44000,15514031,1437100,8423,30,52,76666899.4729987,14095120.3245572,39975.7673734516
"200",2016,"NYK",53,20,75311181,50000,22875000,1611180,8065,32,50,68423233.0062707,20782856.3333569,45427.0083789223
"201",2016,"OKC",80,15,94622660,352750,20158622,3344000,9038,55,27,85968487.3731183,18314917.8100305,320487.544113297
"202",2016,"ORL",35,19,63349656,1e+05,11250000,2380594,8369,35,47,57555707.0782769,10221076.8852575,90854.0167578446
"203",2016,"PHI",50,23,63646397,172739,1.2e+07,1100602,7988,10,72,57825308.1961443,10902482.0109413,156940.320007333
"204",2016,"PHO",74,22,69701209,55722,13086957,1329673.5,8271,23,59,63326348.1052803,11890026.1058719,50625.6752178062
"205",2016,"POR",48,18,61000674,525093,9638554,2854940,8622,44,38,55421562.5783581,8757013.4663739,477068.082214269
